0 0
1 0.0204082
2 0.0408163
3 0.0612245
4 0.0816327
5 0.102041
6 0.122449
7 0.142857
8 0.163265
9 0.183673
10 0.204082
11 0.22449
12 0.244898
13 0.265306
14 0.285714
15 0.306122
16 0.326531
17 0.346939
18 0.367347
19 0.387755
20 0.408163
21 0.428571
22 0.44898
23 0.469388
24 0.489796
25 0.510204
26 0.530612
27 0.55102
28 0.571429
29 0.591837
30 0.612245
31 0.632653
32 0.653061
33 0.673469
34 0.693878
35 0.714286
36 0.734694
37 0.755102
38 0.77551
39 0.795918
40 0.816327
41 0.836735
42 0.857143
43 0.877551
44 0.897959
45 0.918367
46 0.938776
47 0.959184
48 0.979592
49 1
